WHAT TO PASTE INTO THE GOOGLE SHEET
Generated by SLP-python.py. Two edits are needed: (1) fix the X4 column in the
"training block, (2) fill bias/teta into each validation epoch block."

SECTION 1 - TRAINING BLOCK: replace the X4 column (column F) with these 80 values.
The old sheet had 0.2 filled down; these are the real Iris petal widths.
Repeat the same 80 values in every one of the 5 epoch blocks.

No,X1,X2,X3,X4 (corrected),TARGET
5,5.1,3.8,1.9,0.4,0,1.1772048291556354,0.7644448524618291,1,0.7644448524618291,0.5843759324553878,0
6,4.8,3.0,1.4,0.3,0,0.8488194615987206,0.7003194389810382,1,0.7003194389810382,0.4904473166147161,0
7,5.1,3.8,1.6,0.2,0,0.8380685370451071,0.6980582717136015,1,0.6980582717136015,0.48728535070778023,0
8,4.6,3.2,1.4,0.2,0,0.7887220846772169,0.6875568715409126,1,0.6875568715409126,0.472734451603127,0
9,5.3,3.7,1.5,0.2,0,0.7563559691337008,0.6805620529346826,1,0.6805620529346826,0.4631647078946698,0
10,5.0,3.3,1.4,0.2,0,0.7439378760342564,0.6778563604323289,1,0.6778563604323289,0.4594892453785634,0
11,5.5,2.6,4.4,1.2,1,3.507395790062965,0.9708974708900197,1,-0.029102529109980346,0.0008469572005972534,1
12,6.1,3.0,4.6,1.4,1,3.689602816457386,0.9756269628443368,1,-0.02437303715566319,0.0005940449401913385,1
13,5.8,2.6,4.0,1.2,1,3.1965831371962565,0.960705491950728,1,-0.03929450804927204,0.001544058362834305,1
14,5.0,2.3,3.3,1.0,1,2.67169279655977,0.9353354923055156,1,-0.0646645076944844,0.004181498555370032,1
15,5.6,2.7,4.2,1.3,1,3.412497527650138,0.9680928391319437,1,-0.03190716086805634,0.0010180669146600257,1
16,5.7,3.0,4.2,1.2,1,3.316909963673805,0.9650043879120634,1,-0.034995612087936556,0.0012246928654093313,1
17,5.7,2.9,4.2,1.3,1,3.3879872614811366,0.9673269909196518,1,-0.0326730090803482,0.0010675255223645162,1
18,6.2,2.9,4.3,1.3,1,3.412249800566058,0.968085186179377,1,-0.031914813820623,0.0010185553412050288,1
19,5.1,2.5,3.0,1.1,1,2.4984537648309293,0.924033352032589,1,-0.07596664796741104,0.0057709316034045555,1
20,5.7,2.8,4.1,1.3,1,3.3248627367459926,0.9652719694224525,1,-0.034728030577547475,0.0012060361077950725,1
,,,,,,,,Accuracy,0.5,MSE,0.2474625594947646

--- VALIDATION epoch 3 ---
bias,teta1,teta2,teta 3,teta4
0.31043101873961304,-0.1520712138295611,-0.203771566271843,0.8659542978802495,0.707627270050341

No,X1,X2,X3,X4,TARGET,z,g(z),Prediksi,error,Sum Square Error,Correct?
1,5.0,3.5,1.3,0.3,0,0.17490323589978357,0.5436146803819358,1,0.5436146803819358,0.29551692072675423,0
2,4.5,2.3,1.3,0.3,0,0.4954647223407759,0.621392933680549,1,0.621392933680549,0.38612917802811925,0
3,4.4,3.2,1.3,0.2,0,0.25651470707403906,0.5637793374192129,1,0.5637793374192129,0.31784714130084674,0
4,5.0,3.5,1.6,0.6,0,0.6469777062789608,0.6563290728681582,1,0.6563290728681582,0.43076785189197614,0
5,5.1,3.8,1.9,0.4,0,0.6888999503684584,0.6657221705729814,1,0.6657221705729814,0.4431860083924018,0
6,4.8,3.0,1.4,0.3,0,0.39379869158964226,0.5971968215246636,1,0.5971968215246636,0.35664404363916086,0
7,5.1,3.8,1.6,0.2,0,0.2875882069943156,0.5714055838154927,1,0.5714055838154927,0.326504341215524,0
8,4.6,3.2,1.4,0.2,0,0.3126958940961518,0.5775431615359163,1,0.5775431615359163,0.33355610343690156,0
9,5.3,3.7,1.5,0.2,0,0.19095569106756244,0.5475943868055823,1,0.5475943868055823,0.29985961246098164,0
10,5.0,3.3,1.4,0.2,0,0.23149025193714307,0.5576155021216268,1,0.5576155021216268,0.310935048206354,0
11,5.5,2.6,4.4,1.2,1,3.603584905103742,0.9734956608155918,1,-0.0265043391844082,0.0007024799956021558,1
12,6.1,3.0,4.6,1.4,1,3.7455498638833857,0.9769225147969484,1,-0.02307748520305164,0.0005325703232970674,1
13,5.8,2.6,4.0,1.2,1,3.2115818218027736,0.9612678029422226,1,-0.03873219705777742,0.0015001830889225017,1
14,5.0,2.3,3.3,1.0,1,2.6466768002217327,0.9338058712287473,1,-0.06619412877125275,0.0043816626837851905,1
15,5.6,2.7,4.2,1.3,1,3.4655724945225854,0.9696921676159496,1,-0.030307832384050437,0.0009185647038196964,1
16,5.7,3.0,4.2,1.2,1,3.3184711762530426,0.9650570732372625,1,-0.03494292676273747,0.0012210081307460344,1
17,5.7,2.9,4.2,1.3,1,3.409611059885261,0.9680035581893527,1,-0.031996441810647314,0.0010237722885421395,1
18,6.2,2.9,4.3,1.3,1,3.420170882758505,0.9683290126618521,1,-0.03167098733814788,0.0010030514389731235,1
19,5.1,2.5,3.0,1.1,1,2.4016918032253676,0.916956221017364,1,-0.08304377898263604,0.0068962692277169035,1
20,5.7,2.8,4.1,1.3,1,3.34339278672442,0.9658878065861407,1,-0.03411219341385929,0.0011636417395045453,1
,,,,,,,,Accuracy,0.5,MSE,0.17601447264599646

--- VALIDATION epoch 4 ---
bias,teta1,teta2,teta 3,teta4
0.2822600051802186,-0.2017382220993671,-0.3182295638226567,1.0029073754836275,0.7690944828236403

No,X1,X2,X3,X4,TARGET,z,g(z),Prediksi,error,Sum Square Error,Correct?
1,5.0,3.5,1.3,0.3,0,-0.3057266457201074,0.42415815740899365,0,0.42415815740899365,0.17991014249659262,1
2,4.5,2.3,1.3,0.3,0,0.17701794191676423,0.5441392856260661,1,0.5441392856260661,0.2960875621616455,0
3,4.4,3.2,1.3,0.2,0,-0.16612429159605424,0.4585641763025805,0,0.4585641763025805,0.21028110378806414,1
4,5.0,3.5,1.6,0.6,0,0.2258739117720729,0.5562296159668245,1,0.5562296159668245,0.3093913856786011,0
5,5.1,3.8,1.9,0.4,0,0.25728453649569955,0.5639686539548764,1,0.5639686539548764,0.3180606426436751,0
6,4.8,3.0,1.4,0.3,0,-0.005973481840542971,0.49850663398044587,0,0.49850663398044587,0.24850886412251422,1
7,5.1,3.8,1.6,0.2,0,-0.1974065727141167,0.4508080015335437,0,0.4508080015335437,0.20322785424666756,1
8,4.6,3.2,1.4,0.2,0,-0.10618119846756496,0.47347961259394483,0,0.47347961259394483,0.22418294354211207,1
9,5.3,3.7,1.5,0.2,0,-0.3062219983000877,0.4240371730723199,0,0.4240371730723199,0.17980752414716458,1
10,5.0,3.3,1.4,0.2,0,-0.21869944368957744,0.44554202414940025,0,0.44554202414940025,0.19850769528314477,1
11,5.5,2.6,4.4,1.2,1,3.681008749211122,0.975421767097131,1,-0.02457823290286898,0.0006040895326276713,1
12,6.1,3.0,4.6,1.4,1,3.787074362083892,0.9778403719765805,1,-0.02215962802341953,0.0004910491141363202,1
13,5.8,2.6,4.0,1.2,1,3.2193243323878606,0.9615550449219211,1,-0.03844495507807888,0.001478014570955503,1
14,5.0,2.3,3.3,1.0,1,2.6203297198108833,0.9321585605383944,1,-0.06784143946160559,0.004602460908222696,1
15,5.6,2.7,4.2,1.3,1,3.505339943804558,0.9708393255085845,1,-0.02916067449141546,0.0008503449367942884,1
16,5.7,3.0,4.2,1.2,1,3.31278780416546,0.9648649116425674,1,-0.03513508835743262,0.0012344744338845972,1
17,5.7,2.9,4.2,1.3,1,3.42152020883009,0.9683703675677025,1,-0.03162963243229755,0.001000433647802249,1
18,6.2,2.9,4.3,1.3,1,3.4209418353287684,0.9683526476510512,1,-0.031647352348948776,0.0010015549106985135,1
19,5.1,2.5,3.0,1.1,1,2.3125472204736917,0.9099108769203093,1,-0.09008912307969075,0.008116050097267668,1
20,5.7,2.8,4.1,1.3,1,3.353052427663992,0.9662046494105241,1,-0.033795350589475914,0.00114212572146559,1
,,,,,,,,Accuracy,0.85,MSE,0.1194243157992018

--- VALIDATION epoch 5 ---
bias,teta1,teta2,teta 3,teta4
0.25768097516631905,-0.24172439487587,-0.41706443952021377,1.1226968249371818,0.8223742058769637

No,X1,X2,X3,X4,TARGET,z,g(z),Prediksi,error,Sum Square Error,Correct?
1,5.0,3.5,1.3,0.3,0,-0.7044484033523537,0.3308266985087441,0,0.3308266985087441,0.10944630444619545,1
2,4.5,2.3,1.3,0.3,0,-0.08310887849016191,0.4792347312926118,0,0.4792347312926118,0.22966592767710184,1
3,4.4,3.2,1.3,0.2,0,-0.5165318551584641,0.3736635588989878,0,0.3736635588989878,0.1396244552490573,1
4,5.0,3.5,1.6,0.6,0,-0.12092709410810987,0.4698050135264428,0,0.4698050135264428,0.22071675073458114,1
5,5.1,3.8,1.9,0.4,0,-0.0978846591459992,0.47554835552528035,0,0.47554835552528035,0.22614623844279844,1
6,4.8,3.0,1.4,0.3,0,-0.33530162212335457,0.41695121874969004,0,0.41695121874969004,0.17384831881685187,1
7,5.1,3.8,1.6,0.2,0,-0.5991685478025465,0.35453393996271854,0,0.35453393996271854,0.12569431458548852,1
8,4.6,3.2,1.4,0.2,0,-0.45260705163992,0.3887410952546187,0,0.3887410952546187,0.15111963913976054,1
9,5.3,3.7,1.5,0.2,0,-0.7180766653194175,0.32781665486199646,0,0.32781665486199646,0.1074637592049093,1
10,5.0,3.3,1.4,0.2,0,-0.5910032535422892,0.3564046944804775,0,0.3564046944804775,0.1270243062477225,1
11,5.5,2.6,4.4,1.2,1,3.770544337372435,0.9774793464149606,1,-0.022520653585039407,0.0005071798378973484,1
12,6.1,3.0,4.6,1.4,1,3.847698130801656,0.9791166404701821,1,-0.020883359529817902,0.0004361147052516362,1
13,5.8,2.6,4.0,1.2,1,3.2489482889348005,0.9626353025059127,1,-0.03736469749408733,0.0013961206188246558,1
14,5.0,2.3,3.3,1.0,1,2.6170845180601408,0.9319530492572426,1,-0.06804695074275735,0.004630387505387245,1
15,5.6,2.7,4.2,1.3,1,3.562363509533087,0.9724110562711906,1,-0.02758894372880938,0.0007611498160714103,1
16,5.7,3.0,4.2,1.2,1,3.330834317601739,0.965471593492313,1,-0.03452840650768696,0.0011922108559600793,1
17,5.7,2.9,4.2,1.3,1,3.4547781821414567,0.9693733172030508,1,-0.030626682796949245,0.0009379936991449468,1
18,6.2,2.9,4.3,1.3,1,3.4461856671972395,0.9691171852691852,1,-0.030882814730814778,0.0009537482456978303,1
19,5.1,2.5,3.0,1.1,1,2.2549275637750537,0.9050747299452906,1,-0.09492527005470941,0.00901080689495951,1
20,5.7,2.8,4.1,1.3,1,3.3842149435997593,0.9672075545754683,1,-0.032792445424531746,0.0010753444769208932,1
,,,,,,,,Accuracy,1.0,MSE,0.08158255356002912

SECTION 3 - CHART SOURCE TABLE (this is what the four slide charts plot).

Epoch,Train Accuracy,Validation Accuracy,Train Loss (MSE),Validation Loss (MSE),Train F1-Score
1,0.525,0.5,0.45020333452826444,0.3291632517546766,0.6724137931034483
2,0.95,0.5,0.03752902274890398,0.2474625594947646,0.9500000000000001
3,0.975,0.5,0.024417942248016983,0.17601447264599646,0.975
4,0.975,0.85,0.017388687423930464,0.1194243157992018,0.975
5,0.9875,1.0,0.012764059786674591,0.08158255356002912,0.9873417721518987
